hhid,pnum,parentTourNum,tourSubTourNum,personSubTourNum,parentTourMode,carAvailability,origTaz,origMaz,primDestTaz,primDestMaz,subTourPurp,subTourMode,prelimStartInt,finalStartMin,prelimArriveInt,finalArriveMin,totObStops,totIbStops,obStopSeq,ibStopSeq
994,1,1,1,1,1,1,199,22260,200,22265,72,14,36,540.0,38,567,0,0,"[1-72]","[72-1]"
1003,1,1,1,1,1,1,287,20934,264,20898,9,1,38,558.0,40,600,0,0,"[1-9]","[9-1]"
1019,1,1,1,1,1,1,45,25143,165,23041,9,3,26,383.0,34,500,0,0,"[1-9]","[9-1]"
1019,1,1,2,2,1,1,45,25143,134,23283,62,3,35,518.0,38,560,0,0,"[1-62]","[62-1]"
1022,1,2,1,1,2,1,28,23632,164,23042,8,2,62,919.0,70,1037,1,0,"[1-5-8]","[8-1]"
1027,2,1,1,1,3,1,67,25061,174,25163,5,14,46,690.0,48,718,1,0,"[1-72-5]","[5-1]"
1027,2,1,2,2,3,1,67,25061,67,25061,9,14,49,735.0,50,748,0,0,"[1-9]","[9-1]"
1029,2,1,1,1,1,1,53,24192,95,23174,15,1,27,404.0,36,537,0,1,"[1-15]","[15-15-1]"
1048,2,1,1,1,1,1,395,21940,117,22133,72,1,29,425.0,33,482,0,0,"[1-72]","[72-1]"
1049,2,1,1,1,2,1,104,23229,101,22333,72,1,37,542.0,38,569,0,0,"[1-72]","[72-1]"
1051,1,1,1,1,1,1,222,20154,221,20375,72,14,46,681.0,49,724,0,0,"[1-72]","[72-1]"
1078,1,1,1,1,1,1,200,22361,195,22321,72,1,35,525.0,38,567,0,0,"[1-72]","[72-1]"
1081,2,1,1,1,1,1,352,26140,200,22253,15,1,32,472.0,39,574,0,0,"[1-15]","[15-1]"
1083,1,1,1,1,4,0,269,20688,270,20632,5,14,36,536.0,39,579,0,0,"[1-5]","[5-1]"
1083,1,1,2,2,4,0,269,20688,277,20906,72,14,40,596.0,44,654,0,0,"[1-72]","[72-1]"
1085,2,1,1,1,2,1,200,22316,18,22250,72,14,35,521.0,40,594,0,0,"[1-72]","[72-1]"
1090,1,2,1,1,3,1,43,24548,17,23643,42,3,34,507.0,34,504,0,0,"[1-42]","[42-1]"
1099,2,2,1,1,1,1,184,23343,67,25061,72,6,35,519.0,45,666,0,0,"[1-72]","[72-1]"
1106,1,1,1,1,3,1,303,25040,28,23632,15,1,50,750.0,57,853,0,0,"[1-15]","[15-1]"
